Name,Symbol,Year,CSR Strategy Score,Community Score,ESG Combined Score,ESG Controversies Score,ESG Score,Emissions Score,Environment Pillar Score,Environmental Innovation Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,TRDIR Controversies Score,TRDIR Diversity Score,TRDIR Inclusion Score,TRDIR People Development Score,TRDIR Score,Workforce Score,Standard Deviation,Total Returns,Price Returns
3M,MMM,2002,62.66666667,61.11111111,48.78634959,100,48.78634959,10,11.81818182,0,67.99373877,83.33333333,61.08545035,80,30,94.57274827,70.29579067,,,,,,50,0.232029,0.063875,0.043059
3M,MMM,2003,98.79518072,94.44444444,41.61195677,100,41.61195677,92.85714286,34.82142857,0,56.62123147,0,39.97695853,25,25,83.98617512,38.50967008,,,,,,61.11111111,0.155123,0.406303,0.379238
3M,MMM,2004,99.53703704,87.5,54.6897035,70,54.6897035,68.18181818,34.91735537,0,77.32641478,33.33333333,66.3590604,60,50,99.07718121,58.59854949,,,,,,71.875,0.174847,-0.017544,-0.034811
3M,MMM,2005,66.07142857,92.85714285,35.16403758,5.555555556,65.78262061,76.66666667,54.06385281,27.77777778,67.18022635,70,67.48878924,63.63636363,67.85714286,66.89088191,75.48291299,,,,,,78.57142857,0.146086,-0.035121,-0.055684
3M,MMM,2006,37.1875,83.33333333,56.69955852,100,56.69955852,43.33333333,49.16666667,41.66666667,48.09763682,61.11111111,35.44776119,50,65.38461539,97.53731343,68.77133106,,,,,,83.33333333,0.22493,0.029824,0.005548
3M,MMM,2007,74.90196078,97.61904761,74.21887442,80,74.21887442,52.77777778,68.70915033,67.64705882,82.09167602,72.72727272,83.33333333,76.66666666,86.11111111,82.74596182,74.34673404,,,,,,54.76190476,0.196111,0.107221,0.081997
3M,MMM,2008,92.72727273,98.14814814,66.32298812,50,77.64597624,54.76190476,70.54568239,81.57894737,83.31161324,73.07692307,86.87861272,68.18181818,71.05263158,65.14450867,80.56291452,,,,,,87.03703703,0.238227,-0.29801,-0.3176
3M,MMM,2009,91.29464286,98.21428571,72.36439833,66.66666667,78.06213,70.45454546,77.46384298,82.5,78.15964091,73.07692307,80.27663934,61.36363636,77.5,62.34631148,78.54129659,,,,,,83.92857142,0.30581,0.485237,0.43674
3M,MMM,2010,88.73517787,98.61111111,78.03338536,42.30769231,86.83600149,68.51851852,84.86802549,87.03703704,87.23514568,76.66666666,89.28215354,90.74074074,98.21428571,79.41176471,88.36398685,,,,,,95.83333333,0.178742,0.070726,0.04391
3M,MMM,2011,87.90170132,90.54054054,53.76846776,60,86.70360219,69.64285714,85.21840946,87.03703704,84.1429419,82.35294117,89.86895161,94.8275862,98.27586207,62.55040323,89.61489822,,,,,,95.94594594,0.212465,-0.028405,-0.052955
3M,MMM,2012,85.14492754,96.25,86.04336493,83.33333333,86.04336493,77.94117647,85.30192171,81.03448276,78.56014,83.33333333,83.92857143,98.38709677,98.57142857,56.2755102,91.30862601,,,,,,93.75,0.119873,0.166681,0.136058
3M,MMM,2013,84.74729242,96.25,88.22819589,100,88.22819589,77.94117647,85.30192171,81.03448276,86.06251855,84.09090909,93.39815763,98.48484848,98.57142857,62.48720573,92.19528907,,,,,,96.25,0.1054,0.54465,0.510501
3M,MMM,2014,96.80073126,96.25,73.33177398,57.14285714,89.99688129,77.94117647,84.19690604,78.33333333,89.10260177,93.75,95.54759468,98.57142857,98.57142857,62.48720573,95.7721843,,,,,,96.25,0.171491,0.19991,0.171622
3M,MMM,2015,94.95114007,96.42857142,86.51407683,100,86.51407683,76.38888889,83.37609971,77.41935484,76.27739057,96.15384615,81.46446078,98.64864864,98.61111111,46.5379902,95.63021841,,,,,,91.66666666,0.148301,-0.059088,-0.083252
3M,MMM,2016,95.61270802,94.18604651,78.6795791,73.07692308,88.12838897,85.13513514,85.96021792,77.41935484,79.88288894,94.44444444,86.15614335,98.71794871,98.61111111,48.48549488,95.14745778,100,44,73,60,69.25,94.18604651,0.149542,0.217207,0.185409
3M,MMM,2017,94.58728011,98.91304347,88.76587593,100,88.76587593,86.58536585,89.05955702,83.87096774,73.11163735,98.21428571,73.82653061,98.7804878,98.71794872,56.41156463,98.11820062,100,60,73,56,72.25,96.73913043,0.119894,0.349155,0.318083
3M,MMM,2018,94.97690531,99,56.90169021,26.92307692,86.88030349,92.55319149,89.35343575,84.84848485,66.23564458,96.96969696,63.67986799,96.66666666,92.39130435,55.59405941,97.33467784,100,60,73,55,72,97,0.188618,-0.169104,-0.190466
3M,MMM,2019,95.178106,99.01960784,69.45971503,50,88.91943006,92.85714286,88.72912802,85.71428571,76.60487399,96.05263157,77.72698613,94.79166666,88.7755102,60.48234552,96.65615303,100,67,54,52,68.25,97.05882352,0.262282,-0.042593,-0.074105
3M,MMM,2020,95.47854786,99.09090909,61.96020358,31.81818182,92.10222535,93.39622642,89.29305757,84.61538462,87.4855364,96.66666666,86.36635738,95.28301886,91.66666667,85.88745885,97.46954379,100,61,54,55,67.5,99.09090909,0.26527,0.027868,-0.009239
3M,MMM,2021,96.72946102,99.19354838,55.01770613,21.42857143,88.60684083,94.16666667,89.56855137,82.92682927,75.79809028,94.33962264,75.75021435,95.76271186,94.16666667,62.00342955,95.60917367,100,50,71,46,66.75,94.3548387,0.157373,0.048736,0.016248
3M,MMM,2022,96.8839885,99.2063492,47.4130797,4.545454545,90.28070485,90.83333333,87.96811279,83.72093023,87.39250281,91.22807017,91.57608696,95.90163934,90.98360656,67.11956522,94.13872762,100,53,71,49,68.25,92.85714285,0.323734,-0.295985,-0.324889
3M,MMM,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.259774,-0.033295,-0.088392
ABBOTT LABORATORIES,ABT,2002,39.33333333,98.27586206,39.85703232,80,39.85703232,56.25,31.20039683,0,40.77177316,0,27.13625866,0,38.88888889,87.18244804,42.23046705,,,,,,91.37931034,0.363911,-0.251349,-0.282511
ABBOTT LABORATORIES,ABT,2003,68.07228916,65.51724137,40.67092499,100,40.67092499,50,26.94805195,0,60.25142043,0,51.49769585,0,31.81818182,84.21658986,30.66346574,,,,,,74.13793103,0.233593,0.221091,0.165
ABBOTT LABORATORIES,ABT,2004,43.98148148,42.68292682,27.35702727,100,27.35702727,63.33333333,44.94047619,0,22.34630044,0,12.16442953,0,78.125,41.86241611,24.93053412,,,,,,74.3902439,0.192066,0.051545,0.001073
ABBOTT LABORATORIES,ABT,2005,90.71428571,91.17647058,65.57924171,57.14285714,66.87276914,75,35.6292517,0,84.39718129,0,88.11659193,78.57142857,30.95238095,67.7877429,64.63674077,,,,,,93.1372549,0.15189,-0.114221,-0.15477
ABBOTT LABORATORIES,ABT,2006,37.1875,88.7755102,28.88851206,5,52.77702411,56.81818182,32.62987013,0,72.28669154,16.66666666,75.89552239,0,43.18181818,83.65671642,45.10031861,,,,,,96.93877551,0.153535,0.302886,0.235354
ABBOTT LABORATORIES,ABT,2007,74.90196078,90.81632653,64.64775628,100,64.64775628,83.33333333,54.1858679,0,64.46074113,50,56.31424376,46.25,85.48387097,84.65491924,68.49780419,,,,,,99,0.162257,0.208489,0.152741
ABBOTT LABORATORIES,ABT,2008,88.48484849,97.4137931,38.50835423,3.571428571,73.44527989,80.88235294,54.82640425,0,69.96753664,39.28571428,61.67630058,96.29629629,90.78947368,85.26011561,82.68569904,,,,,,99.13793103,0.181403,0.000586,-0.04951
ABBOTT LABORATORIES,ABT,2009,91.29464286,94.69696969,41.91626327,2.941176471,77.16585988,82.89473684,55.73766734,0,66.71838408,85.29411764,52.20286885,93.10344827,91.46341463,98.7192623,92.69545404,,,,,,99.24242424,0.238916,0.079897,0.011617
ABBOTT LABORATORIES,ABT,2010,88.73517787,97.85714285,42.29213588,2.631578947,81.80649399,74.3902439,52.1493396,0,79.01314502,92.85714285,73.33000997,91.66666666,89.53488372,91.47557328,94.43942134,,,,,,96.42857142,0.162433,-0.052297,-0.112613
ABBOTT LABORATORIES,ABT,2011,87.90170132,96.09375,48.96745098,2.941176471,83.64918767,82.14285714,52.74099001,0,87.59724297,87.03703703,85.43346774,88.79310344,81.91489362,94.60685484,91.60546888,,,,,,96.21212121,0.144508,0.263024,0.173659
ABBOTT LABORATORIES,ABT,2012,85.14492754,91.40625,79.99152476,77.5,80.57128481,80.23255814,51.57115172,0,83.4308883,82.25806451,79.23469388,90.83333333,80.20833333,96.2755102,88.67796225,,,,,,90.15151515,0.135116,0.242144,0.164859
ABBOTT LABORATORIES,ABT,2013,84.74729242,86.92307692,49.80837129,17.5,77.11674257,82.55813954,52.4017165,0,74.20990852,84.28571428,65.76253838,90.83333333,80.20833333,95.34288639,88.08422071,,,,,,90.29850746,0.172601,0.189286,0.170363
ABBOTT LABORATORIES,ABT,2014,85.92321755,97.76119402,58.51016728,40,73.54207369,71.95121951,50.2310256,0,71.75325603,80.76923076,63.40839304,66.66666666,85.86956522,90.12282497,83.162813,,,,,,93.28358208,0.128168,0.200818,0.174537
ABBOTT LABORATORIES,ABT,2015,84.17721519,94.27083333,70.52215986,61.11111111,79.9332086,85.29411765,56.03822174,0,87.34620151,74.52830188,86.37742718,72.22222222,89.51612903,92.6881068,82.77219668,,,,,,95.3125,0.201076,0.018904,-0.002443
ABBOTT LABORATORIES,ABT,2016,84.94704992,96.78571428,64.67259463,60,79.34518926,93.26923077,58.25713466,0,80.46592065,75.73529411,75.9172355,79.16666666,87.31343284,92.64078498,85.96824806,,,,,,96.07142857,0.263066,-0.123158,-0.144734
ABBOTT LABORATORIES,ABT,2017,83.62652233,98.61878453,81.87028215,86.66666667,81.87028215,94.61538462,75.10514177,50,84.07423926,56.66666666,82.12585034,81.17647058,82.09876543,90.86734694,82.59416194,100,30,85,50,66.25,98.06629834,0.138445,0.520048,0.485811
ABBOTT LABORATORIES,ABT,2018,83.54503464,97.38095238,56.61109871,35.71428571,77.5079117,95.2631579,75.50063277,50,73.49467349,56.43564356,67.60726073,78.46153846,82.67326733,86.41914191,81.26738136,100,33,91,44,67,97.38095238,0.154202,0.290372,0.267391
ABBOTT LABORATORIES,ABT,2019,83.92701998,97.26890756,80.39484255,87.5,80.39484255,94.84126984,74.74489796,50,77.28841981,61.06557377,73.50252207,85.20179372,80.55555556,85.48234552,84.75666296,100,50,89,44,70.75,98.94957983,0.151085,0.220969,0.200885
ABBOTT LABORATORIES,ABT,2020,84.78547855,95.21276595,81.77040938,100,81.77040938,98.36601307,76.79738562,50,81.02936382,61.25,74.84286142,85.37037037,83.33333333,99.14696199,84.09581949,100,42,89,50,70.25,97.69503546,0.326415,0.280027,0.260534
ABBOTT LABORATORIES,ABT,2021,85.92360021,95.57377049,65.42933644,50,80.85867288,99.22680412,77.44322047,50,77.92213688,62.30366492,75.12146328,84.34343434,84.5177665,81.92340669,84.29949348,100,40,91,54,71.25,98.52459016,0.22155,0.305404,0.285414
ABBOTT LABORATORIES,ABT,2022,85.23489933,94.95114006,43.6071982,5.454545455,81.75985094,99.30555556,78.59295448,50,81.61160214,59.5,81.02116705,84.32343234,88.44339623,81.16418764,82.99488927,100,40,91,50,70.25,96.25407166,0.176513,-0.206886,-0.219909
ABBOTT LABORATORIES,ABT,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.232811,0.02264,0.00255
ABBVIE,ABBV,2013,63.98916968,77.32558139,45.17397287,100,45.17397287,41.66666667,41.3510101,0,35.5840899,72.44897959,26.86796315,10.625,53.47222222,45.7011259,53.46694691,,,,,,44.38202247,0.198186,0.607087,0.54596
ABBVIE,ABBV,2014,79.52468007,71.97802197,61.33276241,91.42857143,61.33276241,49.26470588,55.88696458,21.05263158,52.06695496,83.33333333,50.20470829,61.58536585,72.2972973,39.96929376,70.20521837,,,,,,59.67741935,0.2265,0.279734,0.239159
ABBVIE,ABBV,2015,78.42019544,77.35042735,67.86291679,100,67.86291679,54.375,60.59773184,22.22222222,54.29793782,88.09523809,52.84926471,67.96116504,77.71084337,43.04534314,80.50492655,,,,,,84.18803418,0.283557,-0.064617,-0.094743
ABBVIE,ABBV,2016,77.08018154,82.72058823,75.1160253,91.93548387,75.1160253,61.23595506,65.49063296,20,61.78901852,87.85714285,62.60665529,89.51612903,82.96703297,48.86945393,88.75696585,100,43,93,7,60.75,94.48529411,0.170462,0.098779,0.057056
ABBVIE,ABBV,2017,74.42489851,87.95454545,79.96414061,90.90909091,79.96414061,59.74576271,62.25310197,18.18181818,75.55483908,89.90384615,80.18707483,91.92708333,77.73109244,60.86734694,91.60552118,100,39,93,0,,96.59090909,0.219855,0.601288,0.544395
ABBVIE,ABBV,2018,74.07621247,88.82575757,58.78023623,42.04545455,75.51501791,69.52054795,66.90651977,11.11111111,57.14525517,89.31297709,52.88778878,92.29166666,81.29251701,60.04950495,92.03129689,100,29,94,46,67.25,97.91666666,0.33715,-0.009802,-0.046738
ABBVIE,ABBV,2019,75.45612511,84.53125,61.64412269,44.79166667,78.4965787,75.38860104,71.19156959,11.29032258,64.87901761,89.80263157,55.62736444,92.06896551,85.38461539,88.66645649,91.19331551,100,26,93,36,63.75,97.96875,0.262853,0.014955,-0.039592
ABBVIE,ABBV,2020,76.23762376,94.83240223,52.66559621,24.48979592,80.84139651,83.25892857,74.77232901,14.28571429,63.41953112,94.88636363,67.18048489,92.68656716,85.28037383,42.33762347,95.47728008,100,29.2436,93.0421,59.041,70.3317,99.02234636,0.360196,0.276104,0.210187
ABBVIE,ABBV,2021,76.94924124,94.68911917,42.88051204,5.072463768,80.6885603,73.79182156,73.21649211,11.2244898,63.97905669,95.19230769,67.23349528,92.89617486,91.2962963,44.48413833,95.53623188,100,27,94,37,64.5,98.83419689,0.189932,0.32401,0.263649
ABBVIE,ABBV,2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.231826,-0.002272,-0.041087
ACCENTURE CLASS A,ACN,2004,0,75.73529411,43.24895768,100,43.24895768,0,0,0,57.3015873,0,59.52380952,0,0,88.0952381,41.9971537,,,,,,72.79411764,0.262672,0.025836,0.025836
ACCENTURE CLASS A,ACN,2005,0,74.71910112,32.43758905,100,32.43758905,0,7.01754386,0,35.25252525,0,28.78787879,0,21.05263158,80.3030303,38.02464661,,,,,,52.24719101,0.184269,0.08209,0.069259
ACCENTURE CLASS A,ACN,2006,0,69.78021978,37.34156198,100,37.34156198,0,10.86956522,0,40.90909091,0,40.90909091,0,32.60869565,68.18181818,42.42112726,,,,,,88.46153846,0.20213,0.293195,0.279183
ACCENTURE CLASS A,ACN,2007,36.66666667,97.36842105,55.4673258,100,55.4673258,66.27906977,38.0620155,0,55.22222222,0,55,24.59016393,70,68.33333333,61.81574773,,,,,,98.42105263,0.209733,-0.014565,-0.02437
ACCENTURE CLASS A,ACN,2008,50,92.9906542,69.07162726,88.46153846,69.07162726,86.60714286,83.68778585,75.71428571,71.2745098,0,77.94117647,28.48837209,92.37288136,63.23529412,61.42136001,,,,,,99.53271028,0.27431,-0.075705,-0.089925
ACCENTURE CLASS A,ACN,2009,87.5,81.34920634,72.65747754,100,72.65747754,81.75675676,82.05468896,72.54901961,73.78787879,79.62962962,77.27272727,25.75757575,94.92753623,53.03030303,68.0708863,,,,,,97.24409448,0.226938,0.289808,0.26563
ACCENTURE CLASS A,ACN,2010,89.13043478,93.92857142,78.31294396,94.44444444,78.31294396,82.53012048,80.74424133,71.875,84.16977226,67.24137931,90,24.77876106,91.37931035,61.42857143,70.6644333,,,,,,96.78571428,0.244945,0.190335,0.168434
ACCENTURE CLASS A,ACN,2011,82.60869565,87.31884057,74.20941054,79.16666667,74.20941054,78.73563218,78.36773985,70.14925373,68.0621118,61.84210526,58.57142857,71.49122807,89.08045977,90,79.89950079,,,,,,93.16546762,0.269868,0.119495,0.097752
ACCENTURE CLASS A,ACN,2012,84.09090909,91.19718309,71.70122741,91.93548387,71.70122741,77.12765957,77.67369359,66.17647059,63.71212121,48.97959183,62.5,71.25,93.36734694,54.16666667,78.89816897,,,,,,90.625,0.199117,0.277254,0.249296
ACCENTURE CLASS A,ACN,2013,78.26086957,98.33333333,72.91084973,100,72.91084973,76.06382979,75.78408703,63.28125,63.86070854,50.94339622,59.72222222,71.3114754,92.26804124,68.05555556,82.41969232,,,,,,93.1372549,0.165553,0.265928,0.236391
ACCENTURE CLASS A,ACN,2014,81.25,97.85276073,72.54828585,100,72.54828585,96.35416667,77.75158598,60.65573771,61.85897436,50.84745762,57.69230769,72.79411764,88.1443299,62.82051282,83.14891721,,,,,,96.06060606,0.151831,0.113884,0.086232
ACCENTURE CLASS A,ACN,2015,73.91304348,97.33606557,86.84931264,100,86.84931264,96.98275862,80.30172414,60,86.12491373,80,94.04761905,80.09478672,96.25,67.85714286,89.97164543,,,,,,98.56557377,0.153153,0.195329,0.170082
ACCENTURE CLASS A,ACN,2016,82.14285714,98.53420195,78.80578029,100,78.80578029,93.46153846,76.80495014,58.90410959,69.92063492,73.76237623,70.23809524,80.95238095,89.56834532,60.71428571,89.82107702,100,79,88,79,86.5,99.18566775,0.16212,0.143307,0.120861
ACCENTURE CLASS A,ACN,2017,91.93548387,98.55263157,81.42298821,100,81.42298821,97.55244755,76.47302367,54,75.67686794,72.51908396,85.8974359,81.34556574,92.38410596,30.76923077,89.82040586,100,75,88,79,85.5,99.60526315,0.12479,0.333415,0.307009
ACCENTURE CLASS A,ACN,2018,97.22222222,98.50230414,77.78665466,100,77.78665466,99.73404255,76.69830986,52.43902439,78.31018519,76.58959537,80.20833333,35.82474226,93.68686869,59.375,77.55784902,100,66,93,64,80.75,99.88479262,0.173177,-0.062114,-0.078908
