ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
A,Agilent Technologies Inc,9135,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
AAPL,Apple Inc,16051,Technology,Consumer Electronics,FALSE,FALSE,FALSE
ABBV,AbbVie Inc,4365,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
ABNB,Airbnb Inc,1443,Consumer Cyclical,Travel Services,FALSE,FALSE,FALSE
ABT,Abbott Laboratories,27611,Healthcare,Medical Devices,FALSE,FALSE,FALSE
ACGL,Arch Capital Group Ltd,10662,Financial Services,Insurance - Diversified,FALSE,FALSE,FALSE
ACN,Accenture PLC,8527,Technology,Information Technology Services,FALSE,FALSE,FALSE
ADBE,Adobe Inc,13974,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
ADI,Analog Devices Inc,16670,Technology,Semiconductors,FALSE,FALSE,FALSE
ADM,Archer-Daniels Midland Co,28928,Consumer Defensive,Farm Products,FALSE,FALSE,TRUE
ADP,Automatic Data Processing Inc,20750,Technology,Software - Application,FALSE,FALSE,FALSE
ADSK,Autodesk Inc,14389,Technology,Software - Application,FALSE,FALSE,FALSE
AEE,Ameren Corp,9821,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
AEP,American Electric Power Co Inc,27476,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
AES,The AES Corp,12202,Utilities,Utilities - Diversified,TRUE,FALSE,FALSE
AFL,Aflac Inc,18424,Financial Services,Insurance - Life,FALSE,FALSE,FALSE
AIG,American International Group Inc,14653,Financial Services,Insurance - Diversified,FALSE,FALSE,FALSE
AIZ,Assurant Inc,7596,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
AJG,Arthur J. Gallagher & Co,13506,Financial Services,Insurance Brokers,FALSE,FALSE,FALSE
AKAM,Akamai Technologies Inc,9156,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
ALB,Albemarle Corp,11231,Basic Materials,Specialty Chemicals,FALSE,FALSE,FALSE
ALGN,Align Technology Inc,8701,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
ALL,Allstate Corp,11495,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
ALLE,Allegion PLC,4022,Industrials,Security & Protection Services,FALSE,FALSE,FALSE
AMAT,Applied Materials Inc,19034,Technology,Semiconductor Equipment & Materials,FALSE,FALSE,FALSE
AMCR,Amcor PLC,1991,Consumer Cyclical,Packaging & Containers,FALSE,FALSE,TRUE
AMD,Advanced Micro Devices Inc,16475,Technology,Semiconductors,FALSE,FALSE,FALSE
AME,AMETEK Inc,34478,Industrials,Specialty Industrial Machinery,FALSE,TRUE,FALSE
AMGN,Amgen Inc,15134,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
AMP,Ameriprise Financial Inc,7008,Financial Services,Asset Management,FALSE,FALSE,FALSE
AMT,American Tower Corp,9765,Real Estate,REIT - Specialty,FALSE,FALSE,FALSE
AMTM,Amentum Holdings Inc,59,Industrials,Specialty Business Services,FALSE,FALSE,FALSE
AMZN,Amazon.com Inc,10053,Consumer Cyclical,Internet Retail,FALSE,FALSE,FALSE
ANET,Arista Networks Inc,3822,Technology,Computer Hardware,FALSE,FALSE,FALSE
ANSS,Ansys Inc,10382,Technology,Software - Application,FALSE,FALSE,FALSE
AON,Aon PLC,14686,Financial Services,Insurance Brokers,FALSE,FALSE,FALSE
