contamination,n_estimators,max_samples,max_features,bootstrap,scaler,Mean_Jaccard,Std_Jaccard
0.03,100,auto,0.5,False,standard,0.17335203391887896,0.05236811463947622
0.03,100,auto,0.5,False,minmax,0.17335203391887896,0.05236811463947622
0.03,100,auto,0.5,False,robust,0.17335203391887896,0.05236811463947622
0.03,100,auto,0.5,True,standard,0.17098779786594318,0.056771807537015884
0.03,100,auto,0.5,True,minmax,0.17098779786594318,0.056771807537015884
0.03,100,auto,0.5,True,robust,0.17098779786594318,0.056771807537015884
0.03,100,auto,0.75,False,standard,0.18093545151240778,0.04415480651460528
0.03,100,auto,0.75,False,minmax,0.18093545151240778,0.04415480651460528
0.03,100,auto,0.75,False,robust,0.18093545151240778,0.04415480651460528
0.03,100,auto,0.75,True,standard,0.16513996352973676,0.05189208062974211
0.03,100,auto,0.75,True,minmax,0.16513996352973676,0.05189208062974211
0.03,100,auto,0.75,True,robust,0.16513996352973676,0.05189208062974211
0.03,100,auto,1.0,False,standard,0.19327679234212072,0.0574663905982865
0.03,100,auto,1.0,False,minmax,0.19327679234212072,0.0574663905982865
0.03,100,auto,1.0,False,robust,0.19327679234212072,0.0574663905982865
0.03,100,auto,1.0,True,standard,0.178622778061899,0.049320058965173594
0.03,100,auto,1.0,True,minmax,0.178622778061899,0.049320058965173594
0.03,100,auto,1.0,True,robust,0.178622778061899,0.049320058965173594
0.03,100,0.75,0.5,False,standard,0.19049903502664361,0.05801240806652445
0.03,100,0.75,0.5,False,minmax,0.19049903502664361,0.05801240806652445
0.03,100,0.75,0.5,False,robust,0.19049903502664361,0.05801240806652445
0.03,100,0.75,0.5,True,standard,0.17552419610115239,0.04593394554993625
0.03,100,0.75,0.5,True,minmax,0.17552419610115239,0.04593394554993625
0.03,100,0.75,0.5,True,robust,0.17552419610115239,0.04593394554993625
0.03,100,0.75,0.75,False,standard,0.17930908362625333,0.05728073886516828
0.03,100,0.75,0.75,False,minmax,0.17930908362625333,0.05728073886516828
0.03,100,0.75,0.75,False,robust,0.17930908362625333,0.05728073886516828
0.03,100,0.75,0.75,True,standard,0.1677135313137434,0.050840456022890834
0.03,100,0.75,0.75,True,minmax,0.1677135313137434,0.050840456022890834
0.03,100,0.75,0.75,True,robust,0.1677135313137434,0.050840456022890834
0.03,100,0.75,1.0,False,standard,0.17299894357589987,0.04863229442835375
0.03,100,0.75,1.0,False,minmax,0.17299894357589987,0.04863229442835375
0.03,100,0.75,1.0,False,robust,0.17299894357589987,0.04863229442835375
0.03,100,0.75,1.0,True,standard,0.17571917759732292,0.04765388983604121
0.03,100,0.75,1.0,True,minmax,0.17571917759732292,0.04765388983604121
0.03,100,0.75,1.0,True,robust,0.17571917759732292,0.04765388983604121
0.03,100,1.0,0.5,False,standard,0.1732308595247734,0.05113274823210578
0.03,100,1.0,0.5,False,minmax,0.1732308595247734,0.05113274823210578
0.03,100,1.0,0.5,False,robust,0.1732308595247734,0.05113274823210578
0.03,100,1.0,0.5,True,standard,0.17316172117770184,0.050956009725935135
0.03,100,1.0,0.5,True,minmax,0.17316172117770184,0.050956009725935135
0.03,100,1.0,0.5,True,robust,0.17316172117770184,0.050956009725935135
0.03,100,1.0,0.75,False,standard,0.1786034811571816,0.050371619626084566
0.03,100,1.0,0.75,False,minmax,0.1786034811571816,0.050371619626084566
0.03,100,1.0,0.75,False,robust,0.1786034811571816,0.050371619626084566
0.03,100,1.0,0.75,True,standard,0.17081211327449003,0.05436632046757069
0.03,100,1.0,0.75,True,minmax,0.17081211327449003,0.05436632046757069
0.03,100,1.0,0.75,True,robust,0.17081211327449003,0.05436632046757069
0.03,100,1.0,1.0,False,standard,0.1679177208452139,0.05263665342259153
0.03,100,1.0,1.0,False,minmax,0.1679177208452139,0.05263665342259153
0.03,100,1.0,1.0,False,robust,0.1679177208452139,0.05263665342259153
0.03,100,1.0,1.0,True,standard,0.17394296093294626,0.058128447510802386
0.03,100,1.0,1.0,True,minmax,0.17394296093294626,0.058128447510802386
0.03,100,1.0,1.0,True,robust,0.17394296093294626,0.058128447510802386
