ticker,tuned_pca
A,1.1989789326512537e-31
AAPL,4.986407710558953e-32
ABBV,3.249569069802463e-32
ABNB,1.7964357768906879e-31
ABT,2.1570415377137042e-32
ACGL,5.140482106109932e-32
ACN,5.49065118690761e-32
ADBE,2.2690956435689614e-32
ADI,2.241082117105147e-32
ADM,1.904919799539375e-32
ADP,2.577244434670919e-32
ADSK,6.387084033749669e-32
AEE,6.341999764596969e-32
AEP,4.510177760674109e-32
AES,6.078935242647712e-32
AFL,4.573208195217691e-32
AIG,8.123922674506158e-33
AIZ,4.1249917717966616e-32
AJG,3.221555543338649e-32
AKAM,5.182502395805652e-32
ALB,7.087422195345028e-32
ALGN,6.03691495295199e-32
ALL,3.389636702121535e-32
ALLE,2.724315448605945e-32
AMAT,4.5942183400655515e-32
AMCR,4.8463400782398806e-32
AMD,6.723246351315441e-33
AME,6.254019783046552e-32
AMGN,5.602705292762868e-33
AMP,3.277582596266278e-32
AMT,2.6892985405261764e-32
AMZN,5.602705292762868e-32
ANET,3.249569069802463e-32
ANSS,2.605257961134734e-32
AON,3.389636702121535e-32
AOS,4.913309914942437e-32
APA,1.7928656936841178e-32
APD,3.3616231756577205e-32
APH,4.061961337253079e-32
APTV,3.053474384555763e-32
ARE,3.055225229959751e-32
ATO,4.7132758275367625e-32
AVB,2.0169739053946326e-32
AVGO,3.445663755049164e-32
AVY,2.044987431858447e-32
AWK,5.93886761032864e-32
AXON,1.2052929188893869e-31
AXP,2.0169739053946326e-32
AZO,2.4932038552794765e-32
BA,4.405127036434805e-32
BAC,3.844856507158518e-32
BALL,2.381149749424219e-32
BAX,2.241082117105147e-32
BBY,1.904919799539375e-32
BDX,1.7928656936841178e-32
BEN,5.182502395805652e-32
BF.B,3.977920757861636e-32
BG,2.1850550641775185e-32
BIIB,1.0084869526973163e-32
BK,3.277582596266278e-32
BKNG,6.21199949335083e-32
BKR,3.9218937049340074e-32
BLK,1.3726627967269025e-32
BMY,1.232595164407831e-32
BR,2.044987431858447e-32
BRK.B,2.077903325453429e-31
BRO,8.025875331882809e-32
BSX,1.7928656936841178e-32
BWA,3.1655284904110206e-32
BX,1.3533268977966058e-31
BXP,3.433407837221245e-32
C,8.859277744181285e-32
CAG,3.1655284904110206e-32
CAH,1.5127304290459744e-32
CARR,2.5212173817432905e-32
CAT,1.0084869526973163e-32
CB,3.594485614388177e-32
CBOE,3.789732233892321e-32
CBRE,5.826813504473383e-32
CCI,3.109501437483392e-32
CCL,8.964328468420589e-33
CDNS,1.820879220147932e-32
CDW,3.648761821911818e-32
CE,5.238529448733282e-32
CEG,2.857379699309063e-32
CF,5.406610607516168e-32
CFG,3.949907231397822e-32
CHD,2.857379699309063e-32
CHRW,3.14145436610618e-32
CHTR,1.2087836669135887e-31
CI,3.389636702121535e-32
CINF,5.686745872154311e-32
CL,5.154488869341838e-32
CLX,2.241082117105147e-32
CMCSA,6.58317871899637e-32
CME,2.87138646254097e-32
CMG,5.49065118690761e-32
CMI,3.053474384555763e-32
CMS,7.40257436806294e-32
CNC,2.829366172845248e-32
CNP,7.537389464170046e-32
COF,7.843787409868015e-33
COO,1.7998690753000713e-32
COP,1.6808115878288603e-32
COR,4.202028969572151e-32
COST,3.4736772815129783e-32
CPB,2.1290280112498898e-32
CPRT,2.5212173817432905e-32
CPT,3.697785493223493e-32
CRL,7.003381615953586e-33
CRM,4.874353604703695e-32
CSCO,1.1429518797236251e-31
CSGP,4.2317933414399535e-32
CSX,2.857379699309063e-32
