ticker,mean_log_return,standard_deviation
A,0.12854416832429286,0.25935387848407204
AAPL,0.20562829964017537,0.2812453667235992
ABBV,0.148640318347728,0.26429332530387106
ABNB,-0.015109757413054974,0.49381091574070485
ABT,0.11068537912240023,0.22830296595945027
ACGL,0.15821963616620732,0.24998180751213406
ACN,0.13623639994298875,0.23881446226554154
ADBE,0.21428110285487748,0.3186164471975567
ADI,0.1382271033844809,0.2979657099620628
ADM,0.0545547377349943,0.26164585729995543
ADP,0.1350463383476176,0.2316553145145907
ADSK,0.17330290051319933,0.3499164036825325
AEE,0.08532759774278921,0.2132473609361345
AEP,0.06776521935336068,0.20241934898426986
AES,0.02458520643752061,0.320455377391127
AFL,0.1145430345650492,0.24322504156467958
AIG,0.06177579610809628,0.3092811921986458
AIZ,0.14273024808209367,0.2554004183346936
AJG,0.17482527142904444,0.20599043158478375
AKAM,0.07354289652644087,0.3131057634566919
ALB,0.03585470491947778,0.4137522892977058
ALGN,0.16867111309584704,0.45099872012883335
ALL,0.12674303472479242,0.22971421247424997
ALLE,0.09683117804746418,0.26025923798042655
AMAT,0.2318247107865939,0.3820889486058047
AMCR,-0.01592358664610088,0.29517148091677586
AMD,0.3406205374168167,0.5623649391156363
AME,0.1293963401434363,0.23422960595207382
AMGN,0.10790237137905531,0.2479491052089966
AMP,0.1734291458198343,0.3198123353995984
AMT,0.08315484315621462,0.24364959956962703
AMZN,0.23122113424789575,0.3227046501801664
ANET,0.3227661652598223,0.43564460466382204
ANSS,0.12949046986846044,0.285410391268776
AON,0.156304309803247,0.22024901670224473
AOS,0.13033386187245988,0.26370668596309765
APA,-0.10589536488711469,0.5628722478017747
APD,0.1150283485389499,0.24620805252359215
APH,0.17563061894133633,0.23456406287668297
APTV,0.04641484694321505,0.38151806136649385
ARE,0.03813525225372572,0.24431897336033082
ATO,0.1144564281497096,0.20679197225832788
AVB,0.03922524355382799,0.23373858728780358
AVGO,0.33410007914057127,0.3553344112409782
AVY,0.14883487547911484,0.2565702530262422
AWK,0.10786079857483577,0.2190375845283944
AXON,0.32682412927798815,0.4768306151407015
AXP,0.12985270405738258,0.2893849865823772
AZO,0.17956190531475105,0.24657657948991143
BA,0.05888140735381736,0.37896983461568157
BAC,0.1052779201826534,0.2985243298545654
BALL,0.0796118957401084,0.26409156417806784
BAX,-0.002053476741873202,0.24042231321567797
BBY,0.17263678062621285,0.38747891196363704
BDX,0.09396981919446801,0.21006379869243522
BEN,-0.061905917310225995,0.30822027035718597
BF.B,0.04512874171196455,0.2317957520299177
BG,0.009423873307586253,0.2937157086901095
BIIB,0.019405235309649313,0.4013958244378025
BK,0.0871494004496457,0.2603730442391595
BKNG,0.16975507256090208,0.3111166099047869
BKR,-0.009062280033260163,0.39724112763176717
BLK,0.12963840002946012,0.2651402922523994
BMY,0.042906120748049004,0.24406335689724606
BR,0.18502705695971933,0.2234061172600364
BRK.B,0.13359164970239187,0.18542617048468363
BRO,0.1754912810646493,0.21415026788843716
BSX,0.2244252217263375,0.26687118828562406
BWA,0.0016978915053872505,0.3274458765921446
BX,0.19959759589597567,0.33927500303275343
BXP,-0.025215338601582742,0.2900801449319411
C,0.03677139532850678,0.31370075463180047
CAG,0.01801011797519457,0.24598029594163912
CAH,0.08666033510035953,0.27609368281057767
CARR,0.38967351496581204,0.3780750231365149
CAT,0.11853352997145665,0.2826848469606427
CB,0.10331590316103208,0.22303068309797533
CBOE,0.1642429394927711,0.23914705247977155
CBRE,0.15694769081853088,0.312882273596052
CCI,0.029613622074801043,0.23832987123082958
CCL,-0.04549824861724902,0.5214175299233069
CDNS,0.25404449396245143,0.3010238709503277
CDW,0.2053171367316224,0.2826362769074
CE,0.08352123115842078,0.31010485563807155
CEG,0.6527114509089613,0.4246264763476607
CF,0.05981436133476007,0.3864837213555852
CFG,0.0588800627338324,0.37624906572493694
CHD,0.11381219432977538,0.20031714803111744
CHRW,0.040395740345706914,0.25674704811472515
CHTR,0.13077786408283373,0.30584139265814675
CI,0.14778701085297297,0.287253807369167
CINF,0.10664111921206296,0.26451298301518616
CL,0.047619407623681026,0.18343827873230942
CLX,0.0667554047828592,0.2204203367737971
CMCSA,0.06903640171436214,0.24161880925012005
CME,0.12447169804108019,0.23707305873778722
CMG,0.1924706007234725,0.3364401476904113
CMI,0.0899984690009053,0.26143032670505845
CMS,0.08566333271433535,0.2018289333191161
CNC,0.15356307716024364,0.3383400122977347
CNP,0.03181998826044142,0.2562311123055774
COF,0.0832910518648874,0.338093696094711
COO,0.12627557356933003,0.2564767568623445
COP,0.050717914251869084,0.3611004282755685
COR,0.14244837327047796,0.2490209805333869
COST,0.18249015576856145,0.20651356323689973
CPB,0.021528316519176704,0.23219293307651231
CPRT,0.22031303514073847,0.25845707889306685
CPT,0.04278892928255091,0.2323944108030163
CRL,0.13193310480766568,0.317593995560568
CRM,0.1632343238230191,0.3442714509890608
CSCO,0.08491305632536347,0.24653147084431684
CSGP,0.1736433379449435,0.30968247569072677
CSX,0.1355739146791103,0.2701218972493804
CTAS,0.2516525522751484,0.24695819884501793
CTLT,0.10518399198201951,0.4096639840640492
CTRA,-0.006813952865847659,0.3607082349792328
CTSH,0.05691765356644252,0.2794224565001795
CTVA,0.1363522914230311,0.3444950386446142
CVS,0.009842349126595899,0.25412255523791166
CVX,0.02765112364366733,0.2806970904446702
CZR,0.185052277449038,0.572206935970553
D,0.009185573309699395,0.22073139304308045
DAL,0.13223889846736606,0.3931988719760372
DD,0.04747676379565515,0.296314225817997
DE,0.12818170117344496,0.2772138820300653
DFS,0.11353997830090663,0.3630974100099155
DG,0.054515425508764453,0.2970662176747299
DGX,0.08235352158577078,0.2300615011004073
DHI,0.17821655189478572,0.35253811340419133
DHR,0.15722928168646275,0.22470318811677342
DIS,0.053173147615369926,0.2642108670407132
DLR,0.07950492690833258,0.27375946821907315
DLTR,0.04333894592814066,0.3294640762751182
DOV,0.12140343619572476,0.2573270610000146
DOW,-0.002991097327492045,0.3631518469274316
DPZ,0.18921296383029487,0.283946023033839
DRI,0.11571600639773406,0.33422038139923954
DTE,0.07114140110083306,0.2153384770332381
DUK,0.0465265966349555,0.1977829673055131
DVA,0.08060799663833398,0.30694071252891625
DVN,-0.026568618119062807,0.48878863626313146
DXCM,0.2547485605356927,0.48819298820038826
EA,0.19807936398978146,0.2995025068471679
EBAY,0.08005714848768768,0.2897346573859076
ECL,0.10074813890506716,0.23928586096925106
ED,0.04816151376236376,0.2005579047430741
EFX,0.13321829698090648,0.27549028534325043
EG,0.09722770483840446,0.2503582586915038
EIX,0.04798016067283588,0.25197419916540825
EL,0.007390515152650495,0.30658097971005344
ELV,0.16210634683591618,0.28011327073626485
EMN,0.031346875254737824,0.29163540123441983
EMR,0.058059612213104586,0.26371226975159767
ENPH,0.2616400819313938,0.7890176168515031
EOG,0.05666971197190508,0.38791083272847
EPAM,0.19452171556086525,0.45333708790808763
EQIX,0.12000453046177648,0.26411528089599684
EQR,0.01629392186303572,0.23861263112759956
EQT,0.009739985655350726,0.45594816275553496
ES,0.039702832238672964,0.223594878126911
ESS,0.052870865430408615,0.24373378474133212
ETN,0.1506395974453868,0.2725015077035216
ETR,0.0680755892869578,0.23070370814738136
EVRG,0.05963455678515078,0.2218170431735827
EW,0.12529519128085617,0.3355263765210736
EXC,0.049412361481833644,0.23945174678293782
EXPD,0.09038649586387225,0.23150750732180111
EXPE,0.07819035010561211,0.42223635977761176
EXR,0.12480351803807792,0.2539842833164393
F,-0.021644612854590368,0.3423359583906959
FANG,0.18715271236882117,0.49708981440672134
FAST,0.10025415468221226,0.2602185546606155
FCX,0.021951234249863998,0.5112621616937778
FDS,0.1380476704437759,0.2424390575331873
FDX,0.09038280193641166,0.3058403406508602
FE,-0.0005052705561714207,0.24997108842353413
FFIV,0.07032906650300122,0.2950634802511464
FI,0.19430050733171506,0.23941342296703313
FICO,0.32361351658971715,0.3277949493940378
FIS,0.07708484066355757,0.28047633915297465
FITB,0.08512856410758238,0.34115567699048693
FMC,0.01725835607368298,0.31772110951422666
FOXA,0.017229255289409166,0.32809109044087964
FRT,0.004007849063643791,0.2737145039250235
FSLR,0.15711247487457403,0.4968346058599304
FTNT,0.247247743312678,0.3946231583843883
FTV,0.08175517661728382,0.2674024899854562
GD,0.11965603075811967,0.21537623406235407
GE,0.04042965107707275,0.34031921737553705
GEN,0.031438091176997834,0.35692483099676325
GILD,0.0735283161830993,0.26651218475720084
GIS,0.042438547583370595,0.2018105234294471
GL,0.09206029068565036,0.334342411465905
GLW,0.1120466362363727,0.2850415706402125
GM,0.047310055372180686,0.33861960380310896
GNRC,0.1326675483095759,0.4242291770236193
GOOGL,0.19020419473678124,0.27287872116153145
GPC,0.04703993461119912,0.2573563484208437
GPN,0.12775921435344978,0.31132667562195526
GRMN,0.13094365159251056,0.2731049501958459
GS,0.11609046904457587,0.27311625127624384
GWW,0.14138940913239761,0.26751410668678044
HAL,-0.02154736454378522,0.4394786090661615
HAS,0.0514673284372011,0.3099358842698896
HBAN,0.07249843202000522,0.32133106205645706
HCA,0.20595224518193936,0.31806149580127824
HD,0.15413034927487104,0.23512716907064315
HES,0.07967237110343951,0.41855568346515004
HIG,0.12988289052610236,0.282135764108271
HII,0.1232855112422033,0.27907572956408183
HLT,0.15442825156961856,0.2850526129083328
HOLX,0.11773324630163089,0.2658333025707011
HON,0.10336584212862594,0.2181709705809707
HPE,0.08116668642865602,0.3507652453238985
HPQ,0.14139783971327416,0.33871193385141957
HRL,0.055704100931501715,0.2168225364825775
HSIC,0.06585879314535713,0.24677333152637687
HST,0.006017753307552634,0.3193778615634613
HSY,0.07446837933950613,0.20801545500971663
HUBB,0.12430579751698029,0.2638016016524025
HUM,0.11313786835192863,0.30536645226407894
HWM,0.22857686869323066,0.40684560950781007
IBM,0.008857852141193891,0.2316903319438857
ICE,0.15419999401130005,0.22331726009089461
IDXX,0.1846712578704283,0.29840717525219634
IEX,0.12737616609600963,0.2207993615671895
IFF,0.03127971919221995,0.27662599572386937
INCY,0.1268230021611275,0.3959624943016862
INTC,0.00691087143839946,0.3393011528632191
INTU,0.19508593034330957,0.29578184079472386
INVH,0.05826297082458943,0.26759815705192996
IP,0.03170599620104384,0.2870270439299786
IPG,0.07868119281612045,0.2947998256197403
IQV,0.13971262377060387,0.28060510722367177
IR,0.2001132592036492,0.3455927405823765
IRM,0.11241274226133038,0.2839846874778251
ISRG,0.18735444600084142,0.3188025444211304
IT,0.19988421065632436,0.2793594531131985
ITW,0.1222903312690618,0.22224129098810783
IVZ,-0.035214022860524934,0.3630263339551078
J,0.098163502551909,0.2693313270356846
JBHT,0.09193022812980388,0.2596600907318408
